report_date,category,revenue
23/06/2022,Bottom,5971.00
23/06/2022,Dupatta,0.00
23/06/2022,Ethnic Dress,20682.00
23/06/2022,Saree,2218.00
23/06/2022,Set,939849.00
24/06/2022,Blouse,8406.00
24/06/2022,Bottom,5381.00
24/06/2022,Dupatta,0.00
24/06/2022,Ethnic Dress,14017.00
24/06/2022,Saree,1992.00
24/06/2022,Set,896655.00
24/06/2022,Top,88430.00
24/06/2022,Western Dress,285413.00
24/06/2022,kurta,551275.00
25/06/2022,Blouse,5457.00
25/06/2022,Bottom,4958.00
25/06/2022,Dupatta,0.00
25/06/2022,Ethnic Dress,12402.00
25/06/2022,Saree,2203.00
25/06/2022,Set,871823.00
25/06/2022,Top,87897.00
25/06/2022,Western Dress,280657.00
25/06/2022,kurta,478544.00
26/06/2022,Blouse,3935.00
26/06/2022,Bottom,6312.00
26/06/2022,Dupatta,915.00
26/06/2022,Ethnic Dress,13860.00
26/06/2022,Saree,1544.00
26/06/2022,Set,902752.00
26/06/2022,Top,127178.00
26/06/2022,Western Dress,332269.00
26/06/2022,kurta,480428.00
27/06/2022,Blouse,6048.00
27/06/2022,Bottom,5514.00
27/06/2022,Dupatta,915.00
27/06/2022,Ethnic Dress,14133.00
27/06/2022,Saree,885.00
27/06/2022,Set,952837.00
27/06/2022,Top,135689.00
27/06/2022,Western Dress,371588.00
27/06/2022,kurta,474614.00
28/06/2022,Blouse,8650.00
28/06/2022,Bottom,6198.00
28/06/2022,Dupatta,915.00
28/06/2022,Ethnic Dress,17361.00
28/06/2022,Saree,1566.00
28/06/2022,Set,975359.00
28/06/2022,Top,140915.00
28/06/2022,Western Dress,397249.00
28/06/2022,kurta,526930.00
29/06/2022,Blouse,9353.00
29/06/2022,Bottom,3122.00
29/06/2022,Dupatta,0.00
29/06/2022,Ethnic Dress,15304.00
29/06/2022,Saree,1566.00
29/06/2022,Set,847426.00
29/06/2022,Top,108947.00
29/06/2022,Western Dress,334245.00
29/06/2022,kurta,459293.00
30/06/2022,Blouse,5768.00
30/06/2022,Bottom,2156.00
30/06/2022,Dupatta,0.00
30/06/2022,Ethnic Dress,13321.00
30/06/2022,Saree,1566.00
